"s","a","r","sp"
16165,0,-1,10981
10981,0,-1,52453
52453,1,-147,641
641,0,-1,21377
21377,0,-1,93953
93953,0,-1,21377
21377,0,-1,21377
21377,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,62848
62848,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,57664
57664,0,-1,26560
26560,0,-1,57664
57664,0,-1,73216
73216,0,-1,73216
73216,0,-1,73216
73216,0,-1,36928
36928,0,-1,41464
41464,0,-1,41464
41464,0,-1,77752
77752,0,-1,259165
259165,0,-1,259156
259156,0,-1,259156
259156,0,-1,259156
259156,0,-1,259156
259156,0,-1,259156
259156,0,-1,259156
259156,0,-1,259156
259156,0,-1,259147
259147,0,-1,259147
259147,0,-1,259147
259147,0,-1,259138
259138,0,-1,259138
259138,0,-1,259138
259138,0,-1,259138
259138,0,-1,259129
259129,0,-1,259129
259129,0,-1,253945
253945,0,-1,259129
259129,0,-1,259120
259120,0,-1,295408
295408,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,0,-1,259120
259120,1,-3,641
641,0,-1,21377
21377,0,-1,57665
57665,0,-1,21377
21377,0,-1,21377
21377,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,62848
62848,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,57664
57664,0,-1,57664
57664,0,-1,21376
21376,0,-1,73216
73216,0,-1,73216
73216,0,-1,36928
36928,0,-1,36928
36928,0,-1,36928
36928,0,-1,73216
73216,0,-1,73216
73216,0,-1,15625
15625,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,20809
20809,0,-1,31177
31177,0,-1,31177
31177,0,-1,31177
31177,0,-1,31177
31177,0,-1,31177
31177,0,-1,31177
31177,0,-1,31177
31177,0,-1,16355
16355,0,-1,21539
21539,0,-1,16355
16355,0,-1,21539
21539,0,-1,21539
21539,0,-1,21539
21539,1,-10000,643
643,0,-1,99139
99139,0,-1,93955
93955,0,-1,99139
99139,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,99139
99139,0,-1,104323
104323,0,-1,104323
104323,0,-1,140610
140610,0,-1,140610
140610,0,-1,104322
104322,0,-1,99138
99138,0,-1,99138
99138,0,-1,99138
99138,0,-1,99138
99138,0,-1,99138
99138,0,-1,140610
140610,0,-1,99138
99138,0,-1,99138
99138,0,-1,182082
182082,0,-1,140610
140610,0,-1,99138
99138,0,-1,140610
140610,0,-1,140610
140610,0,-1,176897
176897,0,-1,140609
140609,0,-1,135425
135425,0,-1,176897
176897,0,-1,176897
176897,0,-1,140609
140609,0,-1,135425
135425,0,-1,135425
135425,0,-1,99137
99137,0,-1,62849
62849,0,-1,21377
21377,0,-1,16193
16193,0,-1,57665
57665,0,-1,21377
21377,0,-1,16193
16193,0,-1,21377
21377,0,-1,21376
21376,0,-1,57664
57664,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,62848
62848,1,-160,1288
1288,0,-1,41464
41464,0,-1,77752
77752,0,-1,77752
77752,0,-1,177545
177545,0,-1,141257
141257,0,-1,177545
177545,0,-1,291593
291593,0,-1,255305
255305,0,-1,255305
255305,0,-1,255296
255296,0,-1,255296
255296,0,-1,255296
255296,0,-1,255296
255296,0,-1,255287
255287,0,-1,255287
255287,0,-1,255286
255286,0,-1,255277
255277,0,-1,213805
213805,0,-1,255277
255277,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
255268,0,-1,255268
