"vid","fid","vel_x","vel_y","Ax","Ay","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","dist","nextmove"
"0.0",0.0,8.469368544597233e-16,13.831528487224132,8.469368544597231e-15,138.3152848722413,90.0,0.0,0.0,1000.0,13.706087306267591,0.0
"0.0",0.0,8.456597355046593e-16,13.81067155188648,-1.2771189550639182e-17,-0.20856935337651095,90.0,0.0,0.0,1000.0,12.336184592979167,0.0
"0.0",0.0,8.496943251400296e-16,13.876561400913634,4.034589635370297e-17,0.6588984902715289,90.0,0.0,0.0,1000.0,10.9625682328277,0.0
"0.0",0.0,8.486902657271112e-16,13.860163866316434,-1.0040594129184486e-17,-0.16397534597199837,90.0,0.0,0.0,1000.0,9.59460929140627,0.0
"0.0",0.0,8.447690664720727e-16,13.79612582273083,-3.921199255038468e-17,-0.640380435856045,90.0,0.0,0.0,1000.0,8.23896706003635,0.0
"0.0",0.0,8.506974182472288e-16,13.892943154540845,5.928351775156124e-17,0.9681733181001562,90.0,0.0,0.0,1000.0,6.883443584216758,0.0
"0.0",0.0,8.46951859093687e-16,13.8317735314928,-3.7455591535418184e-17,-0.6116962304804474,90.0,0.0,0.0,1000.0,5.550503366201284,0.0
"0.0",0.0,8.487419393440774e-16,13.861007760523353,1.7900802503903292e-17,0.29234229030553394,90.0,-1.0,-1.0,1000.0,4.247098864179187,0.0
"0.0",0.0,8.455529798688213e-16,13.808928100045305,-3.1889594752560845e-17,-0.5207966047804824,90.0,-1.0,-1.0,1000.0,3.0226665037217963,0.0
"0.0",0.0,8.484496322282096e-16,13.856234023049474,2.8966523593883234e-17,0.47305923004168804,90.0,-1.0,-1.0,1000.0,2.0094856770531146,0.0
"0.0",0.0,8.505989731927178e-16,13.891335424792487,2.1493409645082464e-17,0.3510140174301313,90.0,-1.0,-1.0,1000.0,1.6676764565353908,0.0
"0.0",0.0,8.465895572451914e-16,13.825856693286914,-4.009415947526419e-17,-0.6547873150557315,90.0,-1.0,-1.0,1000.0,2.315668503446887,0.0
"0.0",0.0,8.476871498993332e-16,13.843781741634011,1.0975926541417423e-17,0.1792504834709696,90.0,-1.0,-1.0,1000.0,3.431816907632135,0.0
"0.0",0.0,8.506895575051921e-16,13.892814778881148,3.002407605858931e-17,0.4903303724713659,90.0,-1.0,-1.0,1000.0,4.6977153249367785,0.0
"0.1",0.0,8.440869767887074e-16,13.784986452851445,5.026966126259632e-18,0.08209658702835299,90.0,0.0,0.0,20.284927585802617,22.066754791637056,0.0
"0.1",0.0,8.486494559904271e-16,13.859497392738705,4.562479201719668e-17,0.7451093988725965,90.0,0.0,0.0,20.286146680273447,20.684944518325697,0.0
"0.1",0.0,8.47860495035172e-16,13.846612682538108,-7.889609552550884e-18,-0.12884710200596672,90.0,0.0,0.0,20.283666668360688,19.305011524808556,0.0
"0.1",0.0,8.437531976384168e-16,13.779535425656942,-4.107297396755241e-17,-0.6707725688116639,90.0,0.0,0.0,20.293568269655196,17.932487021096364,0.0
"0.1",0.0,8.469243946788641e-16,13.831325003560632,3.1711970404472964e-17,0.5178957790369054,90.0,0.0,0.0,20.291054177366995,16.55571103216536,0.0
"0.1",0.0,8.505453898628167e-16,13.89046034260653,3.620995183952666e-17,0.591353390458984,90.0,0.0,0.0,20.281258000564403,15.17421228788207,0.0
"0.1",0.0,8.498502901765633e-16,13.879108503255994,-6.950996862534383e-18,-0.11351839350536963,90.0,0.0,0.0,20.2828356579208,13.795356520097325,0.0
"0.1",0.0,8.4785934381963685e-16,13.846593881761656,-1.9909463569264334e-17,-0.32514621494337703,90.0,0.0,0.0,20.277202517739365,12.421740972989507,0.0
"0.1",0.0,8.436840542649138e-16,13.778406228674577,-4.175289554723085e-17,-0.6818765308707952,90.0,0.0,0.0,20.287602684907007,11.05762466467979,0.0
"0.1",0.0,8.478900627057874e-16,13.847095559244044,4.2060084408736644e-17,0.686893305694678,90.0,0.0,0.0,20.284816072972337,9.690621009034137,0.0
"0.1",0.0,8.4645787765883245e-16,13.823706202444155,-1.4321850469549798e-17,-0.23389356799889072,90.0,0.0,0.0,20.2828370118894,8.331761307398255,0.0
"0.1",0.0,8.482684269600959e-16,13.853274716443849,1.8105493012634194e-17,0.29568513999693735,90.0,0.0,0.0,20.277276096422998,6.979265179848072,0.0
